fs_code,ann_date,report_date,total_assets,total_liab,total_equity,current_assets,current_liab
001216.SZ,20251027,20250930,2190994746.930000,373345548.150000,0,1174608422.340000,273163320.410000
001216.SZ,20250827,20250630,2122560628.120000,369844144.900000,0,1234443763.290000,267930856.600000
001216.SZ,20250428,20250331,2216015147.440000,431902520.360000,0,1365099000.710000,331809602.920000
001216.SZ,20251027,20241231,2103699849.410000,369378580.290000,0,1245640809.230000,277956741.070000
001216.SZ,20241026,20240930,2061289608.420000,360932907.480000,0,1257483023.830000,280368775.840000
001216.SZ,20240821,20240630,1969571656.720000,338918310.260000,0,1178192854.100000,258480462.410000
001216.SZ,20240425,20240331,1996688502.800000,353790868.470000,0,1189323841.130000,272545521.790000
001216.SZ,20250403,20231231,1974928826.400000,377485657.820000,0,1162090157.070000,293860127.880000
001216.SZ,20231026,20230930,1967046773.670000,400977419.310000,0,1152054324.050000,312268315.080000
001216.SZ,20230824,20230630,1879678074.400000,377438943.040000,0,1096655465.020000,289399085.220000
001216.SZ,20230427,20230331,1883120611.180000,370651815.670000,0,1098799336.520000,280560245.090000
001216.SZ,20240329,20221231,1872686924.320000,401659800.220000,0,1087781466.400000,310202138.420000
001216.SZ,20221026,20220930,1827519079.060000,369391076.060000,0,1053024607.540000,290008472.540000
001216.SZ,20220820,20220630,1721152216.420000,334124030.550000,0,976407310.810000,253586452.570000
001216.SZ,20220415,20220331,1656373997.510000,271373846.990000,0,946473725.500000,191990139.140000
001216.SZ,20230418,20211231,1649944749.640000,298946972.190000,0,977463483.860000,226847456.050000
001216.SZ,20211030,20210930,1050301234.400000,274780564.010000,0,384798341.590000,204021258.650000
001216.SZ,20210831,20210630,972567245.810000,240039153.470000,0,349968810.920000,168321400.100000
001216.SZ,20220319,20201231,895201527.490000,219165739.170000,0,402286387.230000,163966997.120000
001216.SZ,20210106,20200630,806245364.370000,208473293.800000,0,355275446.510000,151548099.920000
001216.SZ,20210831,20191231,778649611.380000,221103019.100000,0,330575237.890000,162800639.180000
001216.SZ,20210831,20181231,798317932.450000,296584215.620000,0,363204461.710000,248087786.590000
001216.SZ,20210106,20171231,698265022.610000,283887931.010000,0,301177980.880000,240928994.560000
001216.SZ,20171020,20170630,744343500.040000,371976796.010000,0,367301143.540000,253091420.820000
001216.SZ,20171020,20161231,763729643.550000,395252997.870000,0,382451172.550000,234143981.140000
001216.SZ,20171020,20151231,803661308.560000,466631988.260000,0,400820720.510000,297399283.110000
001216.SZ,20171020,20141231,714710524.500000,409601835.400000,0,301803407.300000,373107393.530000
