fs_code,ann_date,report_date,revenue,revenue_yoy,net_profit,net_profit_yoy,gross_margin,roe
002380.SZ,20251021,20250930,1352635070.390000,0,218115513.830000,0,0,0
002380.SZ,20250827,20250630,980446026.810000,0,136862844.220000,0,0,0
002380.SZ,20250425,20250331,420657630.080000,0,59846745.730000,0,0,0
002380.SZ,20250425,20241231,1682253447.970000,0,260058173.870000,0,0,0
002380.SZ,20251021,20240930,1162248951.370000,0,163921499.050000,0,0,0
002380.SZ,20250827,20240630,805114432.430000,0,112276850.700000,0,0,0
002380.SZ,20250425,20240331,367062306.350000,0,42052839.980000,0,0,0
002380.SZ,20250425,20231231,1407099189.800000,0,164195943.250000,0,0,0
002380.SZ,20241016,20230930,1000552399.000000,0,88448980.840000,0,0,0
002380.SZ,20240810,20230630,692654905.340000,0,41500003.040000,0,0,0
002380.SZ,20240426,20230331,282187257.280000,0,9813466.390000,0,0,0
002380.SZ,20240426,20221231,1154337297.690000,0,-515193626.700000,0,0,0
002380.SZ,20231027,20220930,899942881.640000,0,59700837.550000,0,0,0
002380.SZ,20230829,20220630,562547845.560000,0,25741242.790000,0,0,0
002380.SZ,20230426,20220331,248035260.540000,0,2453543.970000,0,0,0
002380.SZ,20230426,20211231,1140279009.400000,0,32115896.580000,0,0,0
002380.SZ,20221026,20210930,743370185.520000,0,54680912.840000,0,0,0
002380.SZ,20220824,20210630,448247138.960000,0,40288759.330000,0,0,0
002380.SZ,20220429,20210331,191930584.350000,0,8532289.380000,0,0,0
002380.SZ,20220429,20201231,844534982.390000,0,132997314.240000,0,0,0
002380.SZ,20211025,20200930,606598655.040000,0,99280050.090000,0,0,0
002380.SZ,20210723,20200630,373659277.100000,0,70546059.970000,0,0,0
002380.SZ,20210424,20200331,128064859.860000,0,12048804.960000,0,0,0
002380.SZ,20210424,20191231,750142788.390000,0,125226189.250000,0,0,0
002380.SZ,20201023,20190930,483303947.100000,0,87028962.730000,0,0,0
002380.SZ,20200805,20190630,308183073.680000,0,66448732.670000,0,0,0
002380.SZ,20200421,20190331,123454284.390000,0,11769037.460000,0,0,0
002380.SZ,20200421,20181231,608872837.970000,0,115342546.990000,0,0,0
002380.SZ,20191021,20180930,394578472.300000,0,74398602.500000,0,0,0
002380.SZ,20190727,20180630,253777658.480000,0,55224531.040000,0,0,0
002380.SZ,20190419,20180331,89737509.740000,0,8086963.580000,0,0,0
002380.SZ,20190322,20171231,590941789.180000,0,112378615.040000,0,0,0
002380.SZ,20181023,20170930,382263453.940000,0,70860694.500000,0,0,0
002380.SZ,20180728,20170630,237398045.230000,0,49740493.370000,0,0,0
002380.SZ,20180425,20170331,87733669.440000,0,6563869.360000,0,0,0
002380.SZ,20180425,20161231,512680944.890000,0,85776696.570000,0,0,0
002380.SZ,20171025,20160930,318496688.730000,0,54257233.380000,0,0,0
002380.SZ,20170728,20160630,192559051.940000,0,38468535.010000,0,0,0
002380.SZ,20170427,20160331,79887740.710000,0,3801510.160000,0,0,0
002380.SZ,20170427,20151231,422591659.070000,0,61131492.960000,0,0,0
002380.SZ,20161027,20150930,269358681.710000,0,39593456.860000,0,0,0
002380.SZ,20160829,20150630,167049327.020000,0,24756992.030000,0,0,0
002380.SZ,20160425,20150331,68564008.280000,0,3335144.820000,0,0,0
002380.SZ,20160425,20141231,314303317.380000,0,43550504.670000,0,0,0
002380.SZ,20151029,20140930,203619913.960000,0,28213270.910000,0,0,0
002380.SZ,20150820,20140630,134609049.350000,0,19429515.490000,0,0,0
002380.SZ,20150421,20140331,47580988.580000,0,4734096.640000,0,0,0
002380.SZ,20150214,20131231,242725039.170000,0,32338787.570000,0,0,0
002380.SZ,20141022,20130930,182570846.520000,0,24323005.310000,0,0,0
002380.SZ,20140723,20130630,115745804.320000,0,14543616.270000,0,0,0
002380.SZ,20140426,20130331,41389042.620000,0,3934398.730000,0,0,0
002380.SZ,20140402,20121231,230534106.730000,0,30069377.270000,0,0,0
002380.SZ,20131028,20120930,176087186.420000,0,21307083.850000,0,0,0
002380.SZ,20130729,20120630,116913828.080000,0,15426772.350000,0,0,0
002380.SZ,20130422,20120331,42130682.210000,0,6247938.990000,0,0,0
002380.SZ,20130410,20111231,235456958.520000,0,42058334.650000,0,0,0
002380.SZ,20121026,20110930,151174678.460000,0,24179320.080000,0,0,0
002380.SZ,20120731,20110630,98851431.180000,0,19705486.070000,0,0,0
002380.SZ,20120421,20110331,36279660.850000,0,9214259.960000,0,0,0
002380.SZ,20120328,20101231,229008021.860000,0,53318850.030000,0,0,0
002380.SZ,20111026,20100930,148030855.810000,0,28435959.300000,0,0,0
002380.SZ,20110730,20100630,118467713.950000,0,21853866.830000,0,0,0
002380.SZ,20110419,20100331,32666946.600000,0,8032505.680000,0,0,0
002380.SZ,20110321,20091231,194667386.940000,0,50789800.590000,0,0,0
002380.SZ,20101026,20090930,129239688.940000,0,19919484.190000,0,0,0
002380.SZ,20100731,20090630,99134273.180000,0,16314149.950000,0,0,0
002380.SZ,20100426,20090331,26422028.780000,0,5412525.910000,0,0,0
002380.SZ,20100311,20081231,182857571.960000,0,42130877.420000,0,0,0
002380.SZ,20100311,20071231,159184805.470000,0,38285887.060000,0,0,0
