fs_code,ann_date,report_date,total_assets,total_liab,total_equity,current_assets,current_liab
002449.SZ,20251027,20250930,6136193797.210000,2304166190.420000,0,3785526730.130000,2019555303.890000
002449.SZ,20250826,20250630,6102640322.340000,2278782795.150000,0,3709105028.910000,1993434921.600000
002449.SZ,20250424,20250331,6083916038.670000,2242332148.700000,0,3734516624.730000,1899545989.160000
002449.SZ,20251027,20241231,6249279269.110000,2425117619.560000,0,3841259563.850000,2096915166.370000
002449.SZ,20241025,20240930,6443741369.700000,2605646226.350000,0,4002317487.200000,2225912279.550000
002449.SZ,20240828,20240630,6457769957.800000,2632410948.750000,0,4002485032.190000,2253675523.120000
002449.SZ,20240429,20240331,6417093819.890000,2585401383.400000,0,3912471011.620000,2161703603.700000
002449.SZ,20250419,20231231,6526413104.580000,2722973125.220000,0,3967291374.520000,2340584273.660000
002449.SZ,20231027,20230930,6479083007.030000,2681631552.520000,0,3914624159.050000,2030617357.120000
002449.SZ,20230825,20230630,6310970021.750000,2540730138.300000,0,3687934784.560000,1886531129.860000
002449.SZ,20230429,20230331,6294474381.230000,2519276082.510000,0,3585990608.580000,1826877154.260000
002449.SZ,20240413,20221231,6579871818.400000,2826327757.770000,0,3793005331.670000,2079712881.270000
002449.SZ,20221026,20220930,5941904890.010000,2118081694.100000,0,3342182543.690000,1697534380.650000
002449.SZ,20220827,20220630,6107467624.980000,2314651376.750000,0,3532251904.810000,1884089421.580000
002449.SZ,20220425,20220331,6025326602.100000,2259448647.880000,0,3394296826.390000,2052376847.810000
002449.SZ,20230407,20211231,6558324456.330000,2626838465.350000,0,3753516966.820000,2412518258.480000
002449.SZ,20211030,20210930,6071632761.630000,2379299430.310000,0,3616755586.410000,2144469851.500000
002449.SZ,20210826,20210630,5923696061.120000,2317898277.610000,0,3487149269.350000,2084381470.990000
002449.SZ,20210428,20210331,5798004654.750000,2208794545.090000,0,3379044120.660000,1896164640.890000
002449.SZ,20220324,20201231,5723573588.150000,2170471151.540000,0,3247445357.610000,1851628438.510000
002449.SZ,20201023,20200930,5575372620.220000,2040231112.140000,0,3085032364.920000,1819797269.410000
002449.SZ,20200821,20200630,5863895531.420000,2342339529.610000,0,3329630477.260000,2121835246.260000
002449.SZ,20200422,20200331,6346108513.170000,2660317585.040000,0,3767267393.600000,2448467005.180000
002449.SZ,20210420,20191231,6632452147.820000,2984938197.500000,0,4010272854.240000,2778916477.600000
002449.SZ,20191024,20190930,6056860389.860000,2479808213.100000,0,3557060062.540000,2290892570.470000
002449.SZ,20190815,20190630,5662996865.630000,2200330600.990000,0,3273077676.280000,2033524371.750000
002449.SZ,20190425,20190331,6020602130.580000,2462384686.180000,0,3566510751.830000,2275882403.640000
002449.SZ,20200409,20181231,6224926622.030000,2759891216.550000,0,3729152695.020000,2571391971.840000
