fs_code,ann_date,report_date,revenue,revenue_yoy,net_profit,net_profit_yoy,gross_margin,roe
000411.SZ,20251029,20250930,24962502594.130000,0,380937658.550000,0,0,0
000411.SZ,20250828,20250630,16628463678.830000,0,288364785.670000,0,0,0
000411.SZ,20250428,20250331,8436943741.350000,0,119122931.680000,0,0,0
000411.SZ,20250425,20241231,33351653828.950000,0,611927758.160000,0,0,0
000411.SZ,20251029,20240930,24777058456.770000,0,419676377.300000,0,0,0
000411.SZ,20250828,20240630,16610786176.260000,0,302874989.520000,0,0,0
000411.SZ,20250428,20240331,8597940087.940000,0,128524787.800000,0,0,0
000411.SZ,20250425,20231231,32052121586.440000,0,588702419.320000,0,0,0
000411.SZ,20241030,20230930,23918021361.650000,0,450316393.650000,0,0,0
000411.SZ,20240824,20230630,16002063040.830000,0,345359241.120000,0,0,0
000411.SZ,20240427,20230331,7901790697.960000,0,113580698.340000,0,0,0
000411.SZ,20240420,20221231,30619257331.720000,0,462950881.580000,0,0,0
000411.SZ,20231028,20220930,22312718552.750000,0,364299061.620000,0,0,0
000411.SZ,20230826,20220630,14650227368.930000,0,249361376.830000,0,0,0
000411.SZ,20230429,20220331,7129176804.940000,0,99818774.940000,0,0,0
000411.SZ,20230429,20211231,26730979470.500000,0,396133198.140000,0,0,0
000411.SZ,20221028,20210930,19917742537.740000,0,314663860.800000,0,0,0
000411.SZ,20220827,20210630,13070461395.980000,0,216779662.070000,0,0,0
000411.SZ,20220430,20210331,6453585764.630000,0,92263855.360000,0,0,0
000411.SZ,20220420,20201231,25008204653.820000,0,342810991.640000,0,0,0
000411.SZ,20211026,20200930,18494857072.760000,0,261578660.460000,0,0,0
000411.SZ,20210828,20200630,11865801499.470000,0,181299624.620000,0,0,0
000411.SZ,20210429,20200331,5641712419.140000,0,70758854.540000,0,0,0
000411.SZ,20210424,20191231,24600927156.340000,0,337672269.030000,0,0,0
000411.SZ,20201031,20190930,18313369172.960000,0,277892501.120000,0,0,0
000411.SZ,20200829,20190630,11798893168.800000,0,216137716.500000,0,0,0
000411.SZ,20200430,20190331,5682323196.020000,0,70745595.170000,0,0,0
000411.SZ,20200425,20181231,20492140937.770000,0,223864727.390000,0,0,0
000411.SZ,20191026,20180930,15266252667.500000,0,175926518.290000,0,0,0
000411.SZ,20190824,20180630,10096297665.170000,0,116351899.520000,0,0,0
000411.SZ,20190429,20180331,5122226479.370000,0,53621578.460000,0,0,0
000411.SZ,20190426,20171231,18907331040.580000,0,191451062.670000,0,0,0
000411.SZ,20181031,20170930,13935038796.450000,0,140500855.820000,0,0,0
000411.SZ,20180811,20170630,9188696503.600000,0,96559928.200000,0,0,0
000411.SZ,20180428,20170331,4511510976.630000,0,48065130.920000,0,0,0
000411.SZ,20180421,20161231,17257326550.140000,0,191878852.980000,0,0,0
000411.SZ,20171028,20160930,12775922930.780000,0,132216851.580000,0,0,0
000411.SZ,20170826,20160630,8350976510.050000,0,86678599.770000,0,0,0
000411.SZ,20170429,20160331,4137543748.610000,0,42102163.730000,0,0,0
000411.SZ,20170422,20151231,15466436916.070000,0,153902442.680000,0,0,0
000411.SZ,20161029,20150930,11537420384.560000,0,116572766.340000,0,0,0
000411.SZ,20160820,20150630,7593856380.740000,0,77235070.610000,0,0,0
000411.SZ,20160430,20150331,3789601103.970000,0,36221248.490000,0,0,0
000411.SZ,20160416,20141231,14073811135.610000,0,128357480.260000,0,0,0
000411.SZ,20151030,20140930,10445926088.720000,0,106971696.070000,0,0,0
000411.SZ,20150821,20140630,6826244945.950000,0,71349331.390000,0,0,0
000411.SZ,20150430,20140331,3336514254.470000,0,32302155.090000,0,0,0
000411.SZ,20150418,20131231,12369304351.360000,0,168777349.120000,0,0,0
000411.SZ,20141028,20130930,9055002408.170000,0,134578516.490000,0,0,0
000411.SZ,20140821,20130630,5894008159.510000,0,104238883.290000,0,0,0
000411.SZ,20140426,20130331,2763345507.620000,0,56506744.260000,0,0,0
000411.SZ,20140418,20121231,10589954544.650000,0,143697635.940000,0,0,0
