fs_code,ann_date,report_date,total_assets,total_liab,total_equity,current_assets,current_liab
000933.SZ,20260324,20251231,48860223542.370000,20613170928.870000,0,11782169451.780000,16129385032.310000
000933.SZ,20251021,20250930,57743116631.180000,29482056399.610000,0,19575161718.190000,24515720292.830000
000933.SZ,20250819,20250630,57439183552.730000,30893599553.500000,0,19694561727.720000,26225230852.330000
000933.SZ,20250422,20250331,52185037990.080000,25803618542.930000,0,12990155018.980000,20279851285.800000
000933.SZ,20260324,20241231,50602682835.710000,24577679358.770000,0,11096040924.540000,18299281572.020000
000933.SZ,20241022,20240930,56148778602.630000,29970952245.620000,0,17445663550.560000,25114115777.400000
000933.SZ,20240820,20240630,58547487219.390000,33781015093.040000,0,20808162554.320000,25551817183.970000
000933.SZ,20240423,20240331,59430913098.640000,34288253903.390000,0,20573029786.150000,26556463538.250000
000933.SZ,20250325,20231231,57857613771.160000,33525790592.830000,0,19451635027.340000,27029317875.800000
000933.SZ,20231024,20230930,60635672311.650000,38271724239.200000,0,24075387527.240000,32733124282.610000
000933.SZ,20230822,20230630,62486462611.800000,40401167757.530000,0,25835842201.200000,35421634500.020000
000933.SZ,20230425,20230331,62299919565.100000,39372854816.800000,0,25001589541.380000,34929972950.900000
000933.SZ,20240326,20221231,60477379457.260000,39276944629.910000,0,23644686174.060000,34694486953.120000
000933.SZ,20221018,20220930,51610800327.660000,31746422228.290000,0,14816736246.710000,27342469866.470000
000933.SZ,20220823,20220630,51799221605.480000,33597169683.870000,0,14619761168.660000,28165062580.060000
000933.SZ,20220426,20220331,54503223048.980000,38435908323.710000,0,17114760479.850000,32553580043.950000
000933.SZ,20230328,20211231,53536619231.950000,39152510069.960000,0,15804155749.280000,33054517179.480000
000933.SZ,20211023,20210930,55057604154.330000,39966601762.250000,0,15942856958.000000,33342084830.520000
000933.SZ,20210810,20210630,59302575502.010000,44950402168.950000,0,17985950280.020000,37208704555.430000
000933.SZ,20210416,20210331,60205420789.070000,47044978098.060000,0,19789769543.870000,39180460310.930000
000933.SZ,20220329,20201231,60637290467.880000,48211004393.250000,0,20061587434.490000,40304925621.580000
000933.SZ,20201023,20200930,57703896200.690000,47768692694.220000,0,18757831413.000000,39448730791.250000
000933.SZ,20200818,20200630,51145075228.540000,42326205374.620000,0,17770273118.480000,37190073372.310000
000933.SZ,20200429,20200331,51387406802.370000,42492725614.810000,0,18079227455.760000,37856551330.460000
000933.SZ,20210406,20191231,53307090100.500000,44208880963.330000,0,16447298389.200000,38833780129.760000
000933.SZ,20191030,20190930,53105348313.310000,43297205573.310000,0,18565694791.730000,38623398707.610000
000933.SZ,20190813,20190630,50818232147.440000,43180485753.580000,0,15227289178.820000,38471616077.620000
